TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target
-0.9763205656365878,1,36,0,1.423196390000514,0,-0.552642221900115,1.0,0.004753083919352834,2
0.2686329609123441,1,15,0,1.311032333424246,0,0.2942607775305022,1.0,2.2112400192766364,1
-0.5906135777067515,1,23,2,-1.4369870526943178,3,-0.9055184716628722,1.0,-1.0133895559206567,0
-0.39050659225759154,1,33,2,-1.04441285467738,3,-1.3430850213686911,1.0,0.8868808739999413,2
-0.7079757574565252,1,28,0,-1.4930690809824516,3,0.7318273272363212,1.0,-1.1003225944519075,0
-1.0004186581979795,0,39,0,-0.4275105435079065,0,0.2660306775494817,1.0,2.098398296675529,2
-0.43547136411251364,0,16,1,1.2549503051361122,2,2.4115182761070453,1.0,-0.5862420411201892,0
-0.6595733119123889,0,11,1,0.3576378525259688,1,-0.4820669719475636,1.0,1.0211273087036732,1
1.7802468355336234,1,26,0,0.5819659656785047,0,-0.002155272270213815,1.0,-1.0390277464899313,0
-0.9636355497233873,0,0,2,0.41371988081410277,1,-0.8631733216913414,1.0,0.6394711866849774,1
-0.371530633493129,1,22,2,-1.3248229961180498,3,0.7459423772268314,1.0,-0.909668057575008,0
0.6752410048726026,0,23,1,-1.156576911253648,3,-0.1291907221848064,1.0,-0.8863928573976064,0
1.6626783953624968,1,22,0,-1.04441285467738,3,0.040189877701317045,1.0,-1.2513881108757638,0
-0.4507002585557326,1,21,2,-1.4930690809824516,3,0.19545542759693021,1.0,-1.2232567868152797,0
0.5753078307271451,1,10,0,-0.4835925717960405,1,0.12488017764437878,1.0,-0.41544836193221807,1
0.8859016485476503,0,2,1,-1.4369870526943178,3,0.5342166273691771,1.0,-1.011115879420485,1
0.6697751037067521,1,8,2,-0.31534648693163864,1,1.606960426647959,1.0,0.004181475012463519,1
-0.9605416434030944,0,0,1,0.8062940788310404,2,-0.19976597213735783,1.0,0.7284916184565651,1
-0.7790324726125832,0,8,2,-1.4930690809824516,3,0.6894821772647903,1.0,0.3763958427655763,1
-0.8208345846734283,1,20,1,1.479278418288648,2,-1.1595893714920573,1.0,0.1677330734961845,0
-0.729908115593712,1,19,1,-0.3714285152197726,0,-0.3832616220139916,1.0,1.0341543777647013,0
0.16412768076023154,1,13,2,-1.268740967829916,3,0.3083758275210125,3.0,-0.9419001651773278,1
-0.5244383591893778,1,33,2,-1.3248229961180498,3,-0.3409164720424607,1.0,-0.8070463960100258,2
-0.9990092119854016,0,15,2,1.1427862485598441,2,2.199792526249391,1.0,-0.37228933763659344,1
-0.1758926238399474,1,24,0,-1.212658939541782,3,0.5342166273691771,5.0,-1.1279665198462492,0
-0.8861503847684986,1,25,1,-0.4275105435079065,1,-0.355031522032971,1.0,-0.6142406702558596,0
-0.5866258762272631,1,19,2,-0.034936345490968856,0,1.0847035769990783,1.0,-0.8475949028424905,0
-0.8316632567944531,1,11,1,-0.9883308263892461,3,2.298597876182963,1.0,-0.9548659904269031,1
-0.9274368457759614,0,24,2,0.8062940788310404,0,-1.4136602713212425,1.0,0.8270176001306656,0
-0.8215221194112711,1,3,0,-0.8761667698129781,0,1.9316065764296957,1.0,1.2070277947165777,1
0.33810834617136354,1,27,0,0.24547379594970092,1,0.6753671272742799,3.0,1.1729634764216395,0
1.992866953211523,1,20,2,-1.268740967829916,3,0.4212962274450948,1.0,-1.1979758518128112,0
-0.14725680200879296,0,37,1,0.021145682797165097,0,-0.990208771605934,1.0,2.4809577649131493,2
-0.5958732184512494,1,39,1,0.24547379594970092,1,-1.0607840215584854,1.0,0.17126224813113092,2
-0.7561719425793088,1,25,1,-1.04441285467738,3,0.3507209774925434,1.0,-1.0699737340517501,0
1.7092588738513494,1,23,0,1.1988682768479781,0,-0.42560677198552244,2.0,0.7199455549334736,0
0.12902903239335436,1,28,2,0.5819659656785047,2,1.3528895268187737,1.0,-1.0396631510337504,0
0.10441528877858063,1,35,0,1.0306221919835763,2,-0.016270322260724102,1.0,-0.19647111408404572,2
-0.9078077290105483,1,30,2,-0.3714285152197726,0,-1.4277753213117528,1.0,2.327493532540739,2
-0.19483420586751785,0,5,2,0.6941300222547726,0,-0.05861547223225497,1.0,2.108684705174061,1
-0.8345852794302853,1,40,0,-1.4369870526943178,3,-0.04450042224174468,1.0,-1.2380931001396316,2
0.02136109244716485,1,21,1,-0.9883308263892461,3,-1.230164621444609,1.0,-1.078139575578741,0
